Year,Week,SMN,SMT,VCI,TCI,VHI,Region
1982,1,3.69,3.03,39.74,35.06,37.4,1
1982,2,0.38,4.34,30.03,34.85,32.44,1
1982,3,0.2,4.85,58.72,47.98,53.35,1
1982,4,0.99,1.0,29.7,46.56,38.13,1
1982,5,2.22,1.53,42.27,18.52,30.39,1
1982,6,1.53,1.9,25.51,46.8,36.16,1
1982,7,1.08,2.62,64.89,41.97,53.43,1
1982,8,3.08,0.94,37.05,47.74,42.39,1
1982,9,3.45,2.26,38.58,44.69,41.64,1
1982,10,0.27,4.56,49.8,37.31,43.55,1
1982,11,1.63,2.65,64.75,37.16,50.95,1
1982,12,4.85,3.9,34.86,55.95,45.41,1
1982,13,0.53,1.06,68.17,57.38,62.77,1
1982,14,2.0,1.43,57.56,53.36,55.46,1
1982,15,1.48,2.76,54.45,71.21,62.83,1
1982,16,0.47,4.94,68.12,55.33,61.72,1
1982,17,0.13,4.1,54.82,68.57,61.69,1
1982,18,3.88,0.46,81.92,73.52,77.72,1
1982,19,4.33,3.15,55.12,59.57,57.35,1
1982,20,1.62,1.69,61.51,61.8,61.66,1
1982,21,4.45,2.41,81.61,80.84,81.22,1
1982,22,3.83,2.85,75.28,57.15,66.21,1
1982,23,2.66,2.19,69.46,83.78,76.62,1
1982,24,1.64,2.59,71.16,61.3,66.23,1
1982,25,2.11,3.8,66.12,68.85,67.49,1
1982,26,4.66,4.06,56.57,58.0,57.29,1
1982,27,4.04,1.01,81.44,67.23,74.33,1
1982,28,4.06,4.49,67.92,73.97,70.94,1
1982,29,1.22,2.19,54.44,57.3,55.87,1
1982,30,0.13,2.6,67.7,63.08,65.39,1
1982,31,0.69,1.75,40.13,53.47,46.8,1
1982,32,2.64,3.54,56.88,61.82,59.35,1
1982,33,4.82,1.33,60.96,54.43,57.69,1
1982,34,1.5,0.28,26.0,53.27,39.64,1
1982,35,0.35,1.47,53.31,81.37,67.34,1
1982,36,0.81,2.5,47.11,53.62,50.37,1
1982,37,1.26,3.67,64.73,57.22,60.97,1
1982,38,3.2,2.73,66.26,29.59,47.92,1
1982,39,0.3,3.0,28.05,37.89,32.97,1
1982,40,3.26,0.95,17.45,43.85,30.65,1
1982,41,4.69,0.77,24.85,60.08,42.46,1
1982,42,4.63,4.4,24.99,36.19,30.59,1
1982,43,4.1,2.82,47.23,24.0,35.62,1
1982,44,0.56,4.5,9.43,39.87,24.65,1
1982,45,1.76,1.81,36.19,46.1,41.14,1
1982,46,4.45,3.92,39.13,39.54,39.33,1
1982,47,0.89,4.5,20.38,38.22,29.3,1
1982,48,0.12,0.89,34.54,26.54,30.54,1
1982,49,3.29,1.2,57.99,40.69,49.34,1
1982,50,1.69,3.76,15.53,44.55,30.04,1
1982,51,3.32,2.88,45.03,40.39,42.71,1
1982,52,1.4,1.3,27.62,26.93,27.27,1
1983,1,4.47,3.19,31.13,40.81,35.97,1
1983,2,2.93,2.51,33.74,55.1,44.42,1
1983,3,1.48,0.22,44.41,28.49,36.45,1
1983,4,4.71,4.77,20.67,45.84,33.26,1
1983,5,0.18,4.65,35.29,50.05,42.67,1
1983,6,4.82,4.28,47.8,42.16,44.98,1
1983,7,4.27,1.65,30.21,26.5,28.35,1
1983,8,4.69,3.51,48.43,31.46,39.94,1
1983,9,3.11,4.95,34.33,50.04,42.18,1
1983,10,4.4,3.73,50.87,36.28,43.58,1
1983,11,1.86,1.54,68.66,64.45,66.56,1
1983,12,4.35,4.57,62.51,59.76,61.13,1
1983,13,4.01,3.28,64.82,100.0,82.41,1
1983,14,4.46,1.76,73.6,64.79,69.2,1
1983,15,2.93,0.28,49.77,55.68,52.72,1
1983,16,1.5,3.0,97.98,37.54,67.76,1
1983,17,0.72,2.66,57.89,74.3,66.09,1
1983,18,3.15,0.52,55.73,70.5,63.12,1
1983,19,2.75,3.22,68.39,55.46,61.93,1
1983,20,4.0,1.43,38.32,66.26,52.29,1
1983,21,0.22,4.82,57.53,63.19,60.36,1
1983,22,2.1,0.95,77.43,75.28,76.35,1
1983,23,2.79,3.6,62.88,57.16,60.02,1
1983,24,4.78,3.72,50.94,75.9,63.42,1
1983,25,2.16,1.31,100.0,76.95,88.48,1
1983,26,0.17,0.67,87.7,55.53,71.62,1
1983,27,2.42,0.58,74.37,72.58,73.47,1
1983,28,0.95,2.23,17.84,50.05,33.95,1
1983,29,3.21,0.32,89.46,44.07,66.76,1
1983,30,2.57,4.3,84.88,42.72,63.8,1
1983,31,0.45,3.25,46.64,64.07,55.35,1
1983,32,4.71,2.92,60.34,52.35,56.34,1
1983,33,2.35,2.77,80.88,40.47,60.67,1
1983,34,4.81,4.54,52.51,60.65,56.58,1
1983,35,0.45,1.66,56.63,44.34,50.48,1
1983,36,0.68,3.51,41.16,60.2,50.68,1
1983,37,3.7,4.04,61.08,51.88,56.48,1
1983,38,3.78,4.05,32.78,39.69,36.23,1
1983,39,1.92,3.9,42.59,46.09,44.34,1
1983,40,4.31,2.2,48.91,40.6,44.76,1
